champion,rank,player,tag,score,session
maokai,6,Insta YushinWR,Boos7,9167,maokai_20260804_2335
maokai,19,DARSRİ,TURK,7589,maokai_20260804_2335
master-yi,1,SKT T1 Mika,EUW,19205,master-yi_20260806_1434
master-yi,34,Kultt,777,8721,master-yi_20260806_1434
mel,17,Lvbel C5,,8052,mel_20260805_2008
mel,27,sykowny carry,EUNE,7511,mel_20260805_2008
mel,28,lanetlimsi,TR1,7281,mel_20260805_2008
mordekaiser,36,AZR Quentin,2299,7410,mordekaiser_20260804_0434
morgana,12,SaberSaber,EUW,9349,morgana_20260804_0053
nasus,3,sikayle,TKS,10938,nasus_20260804_2047
nasus,5,M A D N E S S会来,,9974,nasus_20260804_2047
nasus,9,么DELTA么Diff,KANON,9120,nasus_20260804_2047
nasus,12,Gates Of Olympus,Bouns,8946,nasus_20260804_2047
nasus,18,sedapuraa,EUW,8633,nasus_20260804_2047
nasus,23,Prestigeur,6268,8459,nasus_20260804_2047
nautilus,28,ШЫН СЛЮХИ,MSU,7703,nautilus_20260805_1812
nautilus,40,Limbo,GGG,7409,nautilus_20260805_1812
nautilus,43,MAMA BOYY,2001,7277,nautilus_20260805_1812
nidalee,4,lukica,ありえない,13923,nidalee_20260805_0214
nocturne,30,Insta YushinWR,Boos2,8943,nocturne_20260805_2116
norra,20,Fakerap0,17Yo,,norra_20260805_2159
norra,26,dersoon,5462,7623,norra_20260805_2159
ornn,9,Insta YushinWR,Boos8,10377,ornn_20260805_1907
pantheon,23,왕자 ATENA 魔王,자객66,10053,pantheon_20260804_0128
pyke,1,Will Will Well,Will,17328,pyke_20260806_1324
rammus,14,a DutchLightskin,BOOST,9534,rammus_20260804_2025
rammus,28,T I F I,1807,8726,rammus_20260804_2025
rammus,42,Skwar utsk,,8127,rammus_20260804_2025
rammus,45,yearning,,8072,rammus_20260804_2025
rammus,47,SpamTheGame,,8011,rammus_20260804_2025
renekton,15,R1 Equilibrium,Real1,8393,renekton_20260806_1624
seraphine,25,oneday,,7902,seraphine_20260804_0359
seraphine,26,无语竹了,可达鸭,7871,seraphine_20260804_0359
seraphine,40,SeraNyx,Nic94,7366,seraphine_20260804_0359
shyvana,25,玳培加威chenui7,LUCIF,8686,shyvana_20260804_1649
singed,2,Insta YushinWR,Boos1,12480,singed_20260806_0106
singed,29,DearestSquink,73217,7127,singed_20260806_0106
sion,17,Insta YushinWR,Boos2,9621,sion_20260805_1616
sivir,1,beginner player,65332,12172,sivir_20260805_1216
sivir,10,xBunker,EUW,7721,sivir_20260805_1216
sivir,16,Main Character,IsMe,6658,sivir_20260805_1216
sivir,26,Aranan şahıs,chen,6277,sivir_20260805_1216
sivir,36,NexT1 PanTera,ADC,5970,sivir_20260805_1216
sivir,39,whitesnipa,EUW,5884,sivir_20260805_1216
skarner,50,ةوالقبلل اجيموأ,,6606,skarner_20260806_0146
smolder,18,Chỉ Ôm Trụ Thôi,8386,11762,smolder_20260805_1948
sona,24,Lasda1926,EUNE,9336,sona_20260804_1533
sona,39,bentux,LTU,9011,sona_20260804_1533
sona,50,Dibu,EUNE,8626,sona_20260804_1533
syndra,44,战魂峡谷Zhuó,,7491,syndra_20260803_2215
taliyah,21,Nothing Else,,9459,taliyah_20260805_2058
talon,20,Soft1nt,1v9,8381,talon_20260805_1707
teemo,5,FiiZzU,EUW,9379,teemo_20260804_1512
thresh,29,TERR厶 ahalay,,9224,thresh_20260805_1740
twitch,14,DKentLe1,EUNE,8515,twitch_20260804_1738
urgot,2,六脚SOLØ,6Legs,11888,urgot_20260805_0707
urgot,21,KS FearTheUrgot,,8826,urgot_20260805_0707
vayne,10,beginner player,65332,10920,vayne_20260803_1635
veigar,1,SKT T1 Mika,EUW,12100,veigar_20260806_1713
vex,33,WIX,UA1,7297,vex_20260805_2042
viego,11,SKT T1 Mika,EUW,10590,viego_20260804_1834
viego,32,Insta YushinWR,Boos4,8900,viego_20260804_1834
viktor,23,SaberSaber,EUW,7866,viktor_20260806_0206
vladimir,34,rSunSet,SunSt,7463,vladimir_20260805_0320
vladimir,47,Vladimir Bloody,2265,7250,vladimir_20260805_0320
vladimir,48,Twardy Grzegorz,1407,7219,vladimir_20260805_0320
warwick,46,Душный,,9016,warwick_20260805_1756
wukong,14,个FBIㄨ,,9500,wukong_20260803_1545
wukong,28,M4riOS,SUNWU,8340,wukong_20260803_1545
wukong,32,Skei,,8160,wukong_20260803_1545
xayah,7,酸浴AcidBath,1611,9795,xayah_20260804_1704
xayah,21,was los junkie,,8177,xayah_20260804_1704
xin-zhao,27,Mr Pengu,1312,8269,xin-zhao_20260803_2041
xin-zhao,28,T1 Night Wolf,,8269,xin-zhao_20260803_2041
xin-zhao,37,2BIG2TAKE,,7828,xin-zhao_20260803_2041
yasuo,3,ドミトリー,7686,11538,yasuo_20260804_0518
yasuo,50,我超喜欢日女玩家,看你咋地,7831,yasuo_20260804_0518
yone,49,Sobriquet,7750,9133,yone_20260804_2226
yuumi,13,mimixink,,8768,yuumi_20260803_2107
zed,49,Slayp,,7559,zed_20260804_0554
zilean,1,Will Will Well,Will,18170,zilean_20260805_0124
zilean,13,دمحم مأ تاراهب,,8820,zilean_20260805_0124
zyra,49,Innamoramento,9597,7084,zyra_20260804_2002
zyra,50,fox0303,EUNE,7056,zyra_20260804_2002
